block,treatment,clip,height_cm,date,notes
2,low,3,110,6/12/2025,
2,low,3,140,6/12/2025,
2,low,3,149,6/12/2025,
2,low,3,120,6/12/2025,
2,low,2,106,6/12/2025,
2,low,2,114,6/12/2025,
2,low,2,90,6/12/2025,
2,low,2,85,6/12/2025,
2,control,3,155,6/12/2025,
2,control,3,167,6/12/2025,
2,control,3,168,6/12/2025,
2,control,3,142,6/12/2025,
3,low,2,164,6/12/2025,
3,low,2,175,6/12/2025,
3,low,2,166,6/12/2025,
3,low,2,137,6/12/2025,
1,control,1,38.7,6/12/2025,
1,control,1,52,6/12/2025,
1,control,1,45,6/12/2025,
1,control,1,40,6/12/2025,
1,control,3,198,6/12/2025,
1,control,3,200,6/12/2025,
1,control,3,158,6/12/2025,
1,control,3,139,6/12/2025,
2,control,1,126,6/12/2025,
2,control,1,151,6/12/2025,
2,control,1,140,6/12/2025,
2,control,1,127,6/12/2025,
1,control,2,137,6/12/2025,
1,control,2,122,6/12/2025,
1,control,2,130,6/12/2025,
1,control,2,97,6/12/2025,
1,low,1,155,6/12/2025,
1,low,1,138,6/12/2025,
1,low,1,161,6/12/2025,
1,low,1,173,6/12/2025,
3,low,3,61,6/12/2025,
3,low,3,97,6/12/2025,
3,low,3,113,6/12/2025,
3,low,3,112,6/12/2025,
2,precision,3,115,6/12/2025,
2,precision,3,85,6/12/2025,
2,precision,3,124,6/12/2025,
2,precision,3,139,6/12/2025,
1,low,3,220,6/12/2025,
1,low,3,204,6/12/2025,
1,low,3,203,6/12/2025,
1,low,3,224,6/12/2025,
2,low,1,71,6/12/2025,
2,low,1,74,6/12/2025,
2,low,1,83,6/12/2025,
2,low,1,70,6/12/2025,
2,control,2,149,6/12/2025,
2,control,2,191,6/12/2025,
2,control,2,93,6/12/2025,
2,control,2,152,6/12/2025,
3,low,1,48,6/12/2025,
3,low,1,75,6/12/2025,
3,low,1,81,6/12/2025,
3,low,1,74,6/12/2025,
2,precision,1,101,6/12/2025,
2,precision,1,136,6/12/2025,
2,precision,1,111,6/12/2025,
2,precision,1,76,6/12/2025,
2,precision,2,151,6/12/2025,
2,precision,2,156,6/12/2025,
2,precision,2,168,6/12/2025,
2,precision,2,173,6/12/2025,
1,low,2,157,6/12/2025,
1,low,2,152,6/12/2025,
1,low,2,153,6/12/2025,
1,low,2,131,6/12/2025,
